date,high,low,open,close,volume,adj close,high_sp,low_sp,open_sp,close_sp,volume_sp,adj close_sp,sentiment
2017-04-06,36.130001068115234,35.86249923706055,36.0724983215332,35.915000915527344,84596000.0,33.95271301269531,236.0399932861328,234.42999267578125,234.94000244140625,235.44000244140625,69135800.0,216.4203643798828,0.01965934959349594
2017-04-07,36.04499816894531,35.817501068115234,35.932498931884766,35.834999084472656,66688800.0,33.8770751953125,236.0,234.63999938964844,235.14999389648438,235.1999969482422,74412300.0,216.19973754882812,0.06763125
2017-04-10,35.970001220703125,35.724998474121094,35.900001525878906,35.79249954223633,75733600.0,33.8369026184082,236.25999450683594,234.72999572753906,235.36000061035156,235.33999633789062,67615300.0,216.32846069335938,0.12358153846153846
2017-04-11,35.837501525878906,35.01499938964844,35.73500061035156,35.407501220703125,121517600.0,33.472938537597656,235.17999267578125,233.33999633789062,234.89999389648438,235.05999755859375,88045300.0,216.07106018066406,0.04851395348837209
2017-04-12,35.537498474121094,35.252498626708984,35.400001525878906,35.45000076293945,81400000.0,33.51311111450195,234.9600067138672,233.77000427246094,234.74000549316406,234.02999877929688,81864400.0,215.12425231933594,0.06230952380952381
2017-04-13,35.595001220703125,35.26250076293945,35.477500915527344,35.26250076293945,71291600.0,33.33586120605469,234.49000549316406,232.50999450683594,233.63999938964844,232.50999450683594,92880400.0,213.72706604003906,0.13925777777777779
2017-04-17,35.470001220703125,35.217498779296875,35.369998931884766,35.45750045776367,66328400.0,33.52021026611328,234.57000732421875,232.8800048828125,233.11000061035156,234.57000732421875,68405400.0,215.62066650390625,-0.014949253731343284
2017-04-18,35.5099983215332,35.27750015258789,35.352500915527344,35.29999923706055,58790000.0,33.371307373046875,234.49000549316406,233.0800018310547,233.72000122070312,233.8699951171875,83225800.0,214.9771728515625,0.09091746031746033
2017-04-19,35.5,35.11249923706055,35.470001220703125,35.16999816894531,69313600.0,33.2484130859375,234.9499969482422,233.17999267578125,234.52000427246094,233.44000244140625,68699900.0,214.58192443847656,0.12065764705882354
2017-04-20,35.72999954223633,35.290000915527344,35.30500030517578,35.61000061035156,93278400.0,33.66437530517578,235.85000610351562,233.77999877929688,234.14999389648438,235.33999633789062,92572200.0,216.32846069335938,0.15253863636363638
2017-04-21,35.66999816894531,35.462501525878906,35.61000061035156,35.567501068115234,69283600.0,33.62419509887695,235.30999755859375,234.1300048828125,235.25,234.58999633789062,110389800.0,215.63902282714844,0.16644375
2017-04-24,35.98749923706055,35.79499816894531,35.875,35.90999984741211,68537200.0,33.947975158691406,237.41000366210938,234.55999755859375,237.17999267578125,237.1699981689453,119209900.0,218.0105743408203,0.10833023255813953
2017-04-25,36.224998474121094,35.967498779296875,35.977500915527344,36.13249969482422,75486000.0,34.158321380615234,238.9499969482422,237.80999755859375,237.91000366210938,238.5500030517578,76698300.0,219.2791290283203,0.16421290322580645
2017-04-26,36.150001525878906,35.845001220703125,36.11750030517578,35.91999816894531,80164800.0,33.95743179321289,239.52999877929688,238.35000610351562,238.50999450683594,238.39999389648438,84702500.0,219.14126586914062,0.10803076923076925
2017-04-27,36.040000915527344,35.82749938964844,35.97999954223633,35.9474983215332,56985200.0,33.98342514038086,238.9499969482422,237.97999572753906,238.77000427246094,238.60000610351562,57410300.0,219.3250732421875,0.15908529411764705
2017-04-28,36.07500076293945,35.817501068115234,36.022499084472656,35.912498474121094,83441600.0,33.95033645629883,238.92999267578125,237.92999267578125,238.89999389648438,238.0800018310547,63532800.0,218.8470916748047,0.052726086956521735
2017-05-01,36.79999923706055,36.2400016784668,36.275001525878906,36.64500045776367,134411600.0,34.6428108215332,239.1699981689453,238.1999969482422,238.67999267578125,238.67999267578125,66882500.0,219.39862060546875,0.16376610169491526
2017-05-02,37.022499084472656,36.709999084472656,36.8849983215332,36.877498626708984,181408800.0,34.862613677978516,238.97999572753906,238.3000030517578,238.83999633789062,238.77000427246094,57375700.0,219.4813690185547,0.08448071895424836
2017-05-03,36.872501373291016,36.067501068115234,36.397499084472656,36.76499938964844,182788000.0,34.75625991821289,238.8800048828125,237.6999969482422,238.77000427246094,238.47999572753906,73137700.0,219.21478271484375,0.0972795321637427
2017-05-04,36.78499984741211,36.45249938964844,36.630001068115234,36.63249969482422,93487600.0,34.63100814819336,238.9199981689453,237.77999877929688,238.8300018310547,238.75999450683594,61462700.0,219.47218322753906,0.07454910714285715
2017-05-05,37.244998931884766,36.689998626708984,36.689998626708984,37.2400016784668,109310800.0,35.20530700683594,239.72000122070312,238.67999267578125,239.19000244140625,239.6999969482422,62001300.0,220.33624267578125,0.1571919191919192
2017-05-08,38.42499923706055,37.25749969482422,37.25749969482422,38.252498626708984,195009600.0,36.16249084472656,239.9199981689453,239.1699981689453,239.75,239.66000366210938,48385700.0,220.2994842529297,0.15662219827586207
2017-05-09,38.720001220703125,38.36249923706055,38.467498779296875,38.497501373291016,156521600.0,36.39411163330078,240.19000244140625,239.0399932861328,239.9600067138672,239.44000244140625,51363200.0,220.09725952148438,0.10216958174904943
2017-05-10,38.48500061035156,38.02750015258789,38.407501220703125,38.314998626708984,103222800.0,36.22157669067383,239.8699951171875,239.14999389648438,239.38999938964844,239.8699951171875,54293800.0,220.4925079345703,0.085888
2017-05-11,38.51750183105469,38.07749938964844,38.11249923706055,38.48749923706055,109020400.0,36.53483200073242,239.57000732421875,238.1300048828125,239.35000610351562,239.3800048828125,62358300.0,220.04209899902344,0.14593228346456694
2017-05-12,39.10499954223633,38.66749954223633,38.67499923706055,39.025001525878906,130108000.0,37.04505920410156,239.42999267578125,238.6699981689453,239.08999633789062,238.97999572753906,53912700.0,219.6743927001953,0.11235381165919282
2017-05-15,39.162498474121094,38.76250076293945,39.002498626708984,38.92499923706055,104038800.0,36.950138092041016,240.44000244140625,239.4499969482422,239.47000122070312,240.3000030517578,61918900.0,220.88778686523438,0.13408376068376068
