Datetime,sentiment
2017-04-06,0.01965934959349594
2017-04-07,0.06763125
2017-04-08,0.13347692307692308
2017-04-09,0.10985454545454544
2017-04-10,0.12358153846153846
2017-04-11,0.04851395348837209
2017-04-12,0.06230952380952381
2017-04-13,0.13925777777777779
2017-04-14,0.081665
2017-04-15,-0.03896000000000001
2017-04-16,0.2472
2017-04-17,-0.014949253731343284
2017-04-18,0.09091746031746033
2017-04-19,0.12065764705882354
2017-04-20,0.15253863636363638
2017-04-21,0.16644375
2017-04-22,0.046944444444444455
2017-04-23,0.22292666666666663
2017-04-24,0.10833023255813953
2017-04-25,0.16421290322580645
2017-04-26,0.10803076923076925
2017-04-27,0.15908529411764705
2017-04-28,0.052726086956521735
2017-04-29,0.24771538461538462
2017-04-30,0.10136086956521739
2017-05-01,0.16376610169491526
2017-05-02,0.08448071895424836
2017-05-03,0.0972795321637427
2017-05-04,0.07454910714285715
2017-05-05,0.1571919191919192
2017-05-06,0.0934695652173913
2017-05-07,0.07642
2017-05-08,0.15662219827586207
2017-05-09,0.10216958174904943
2017-05-10,0.085888
2017-05-11,0.14593228346456694
2017-05-12,0.11235381165919282
2017-05-13,0.16928695652173914
2017-05-14,0.23299999999999998
2017-05-15,0.13408376068376068
2017-05-16,0.08177872340425532
2017-05-17,0.08065339366515838
2017-05-18,0.16384180327868852
2017-05-19,0.044073770491803284
2017-05-20,0.19798333333333332
2017-05-21,0.2310142857142857
2017-05-22,0.08377281553398058
2017-05-23,0.10664939759036145
2017-05-24,0.0350125
2017-05-25,0.08232
2017-05-26,0.08304428571428572
2017-05-27,-0.028500000000000004
2017-05-28,0.08333333333333333
2017-05-29,0.22769166666666665
2017-05-30,0.1585925
2017-05-31,0.03950684931506849
2017-06-01,0.1484486111111111
2017-06-02,0.154205
2017-06-03,0.15814666666666669
2017-06-04,0.18804117647058824
2017-06-05,0.11241111111111111
2017-06-06,0.13820168539325842
2017-06-07,0.14164257425742574
2017-06-08,0.08683012048192772
2017-06-09,0.026918343195266273
2017-06-10,0.23650399999999996
2017-06-11,0.2063578947368421
2017-06-12,0.08004615384615384
2017-06-13,0.07111975308641975
